gene_symbol	gene_id	Gene.Name	Case.PTV	Ctrl.PTV	Case.mis3	Ctrl.mis3	Case.mis2	Ctrl.mis2	P.ca.co..Class.1.	P.ca.co..Class.2.	P.ca.co..comb.	De.novo.PTV	De.novo.mis3	De.novo.mis2	P.de.novo	P.meta	Q.meta	OR..PTV.	OR..Class.I.	OR..Class.II.	Case.syn	Ctrl.syn	P.ca.co..syn.	P.meta..no.gnomAD	Case.Ctrl.PTV..no.gnomAD	Case.Ctrl.mis3..no.gnomAD	Case.Ctrl.mis2..no.gnomAD	P.ca.co..Class.I...no.gnomAD	P.ca.co..Class.II...no.gnomAD	P.ca.co..comb...no.gnomAD
HARS2	ENSG00000112855	Histidyl-tRNA synthetase 2, mitochondrial	8	26	0	0	0	0	0.763	NA	0.763	NA	NA	NA	NA	0.763	1	1.24 (0.483<96>2.81)	1.24 (0.483<96>2.81)		15	95	0.115	0.903	8/14	0/0	0/0	0.903	NA	0.903
HAS1	ENSG00000105509	Hyaluronan synthase 1	7	13	1	1	5	3	0.204	0.431	0.154	NA	NA	NA	NA	0.154	1	2.16 (0.73<96>5.83)	2.29 (0.834<96>5.86)	6.69 (1.3<96>43.1)	31	96	0.401	0.0937	7/5	1/1	5/1	0.138	0.33	0.0937
HAS2	ENSG00000170961	Hyaluronan synthase 2	1	3	0	0	1	6	0.634	1	0.634	NA	NA	NA	NA	0.634	1	1.34 (0.0255<96>16.7)	1.34 (0.0255<96>16.7)	0.669 (0.0145<96>5.51)	30	96	0.316	1	1/2	0/0	1/4	1	1	1
HAS3	ENSG00000103044	Hyaluronan synthase 3	1	12	0	0	11	28	0.467	0.325	0.467	NA	NA	NA	NA	0.467	1	0.334 (0.00783<96>2.26)	0.334 (0.00783<96>2.26)	1.58 (0.708<96>3.27)	36	150	0.924	0.273	1/8	0/0	11/13	0.273	0.167	0.273
HAT1	ENSG00000128708	Histone acetyltransferase 1	4	12	0	0	0	0	0.579	NA	0.579	NA	NA	NA	NA	0.579	1	1.34 (0.314<96>4.42)	1.34 (0.314<96>4.42)		15	39	0.172	0.622	4/10	0/0	0/0	0.622	NA	0.622
HAUS1	ENSG00000152240	HAUS augmin-like complex, subunit 1	5	16	0	0	0	0	0.588	NA	0.588	NA	NA	NA	NA	0.588	1	1.25 (0.359<96>3.58)	1.25 (0.359<96>3.58)		9	33	0.838	0.212	5/4	0/0	0/0	0.212	NA	0.212
HAUS2	ENSG00000137814	HAUS augmin-like complex, subunit 2	3	10	0	0	0	0	0.889	NA	0.889	NA	NA	NA	NA	0.889	1	1.2 (0.213<96>4.68)	1.2 (0.213<96>4.68)		8	31	0.829	0.91	3/5	0/0	0/0	0.91	NA	0.91
HAUS3	ENSG00000214367	HAUS augmin-like complex, subunit 3	13	29	0	0	0	0	0.0623	NA	0.0623	NA	NA	NA	NA	0.0623	1	1.8 (0.859<96>3.57)	1.8 (0.859<96>3.57)		27	87	0.538	0.0622	13/12	0/0	0/0	0.0622	NA	0.0622
HAUS4	ENSG00000092036	HAUS augmin-like complex, subunit 4	5	17	0	0	0	0	0.847	NA	0.847	NA	NA	NA	NA	0.847	1	1.18 (0.34<96>3.33)	1.18 (0.34<96>3.33)		8	61	0.131	1	5/12	0/0	0/0	1	NA	1
HAUS5	ENSG00000249115	HAUS augmin-like complex, subunit 5	12	33	0	0	0	0	0.322	NA	0.322	NA	NA	NA	NA	0.322	1	1.46 (0.686<96>2.9)	1.46 (0.686<96>2.9)		33	127	0.859	0.263	12/15	0/0	0/0	0.263	NA	0.263
HAUS6	ENSG00000147874	HAUS augmin-like complex, subunit 6	11	63	0	0	0	0	0.387	NA	0.387	NA	NA	NA	NA	0.387	1	0.701 (0.333<96>1.34)	0.701 (0.333<96>1.34)		24	139	0.187	0.827	11/29	0/0	0/0	0.827	NA	0.827
HAUS7	ENSG00000213397	HAUS augmin-like complex, subunit 7	1	1	0	0	0	0	0.494	NA	0.494	NA	NA	NA	NA	0.494	1	4.01 (0.0511<96>314)	4.01 (0.0511<96>314)		8	41	0.745	0.588	1/1	0/0	0/0	0.588	NA	0.588
HAUS8	ENSG00000131351	HAUS augmin-like complex, subunit 8	3	20	0	0	0	0	0.703	NA	0.703	NA	NA	NA	NA	0.703	1	0.602 (0.115<96>2.03)	0.602 (0.115<96>2.03)		21	91	0.802	1	3/7	0/0	0/0	1	NA	1
HAVCR1	ENSG00000113249	Hepatitis A virus cellular receptor 1	8	21	0	0	0	0	0.366	NA	0.366	NA	NA	NA	NA	0.366	1	1.53 (0.586<96>3.59)	1.53 (0.586<96>3.59)		12	93	0.0292	0.363	8/8	0/0	0/0	0.363	NA	0.363
HAVCR2	ENSG00000135077	Hepatitis A virus cellular receptor 2	6	11	0	0	0	0	0.209	NA	0.209	NA	NA	NA	NA	0.209	1	2.19 (0.665<96>6.46)	2.19 (0.665<96>6.46)		8	44	0.466	0.402	6/7	0/0	0/0	0.402	NA	0.402
HAX1	ENSG00000143575	HCLS1 associated protein X-1	9	24	0	0	0	0	0.261	NA	0.261	NA	NA	NA	NA	0.261	1	1.51 (0.616<96>3.36)	1.51 (0.616<96>3.36)		8	41	0.71	0.239	9/11	0/0	0/0	0.239	NA	0.239
HBA1	ENSG00000206172	Hemoglobin, alpha 1	0	5	0	0	0	0	0.596	NA	0.596	NA	NA	NA	NA	0.596	1	0 (0<96>4.38)	0 (0<96>4.38)		3	5	0.425	1	0/1	0/0	0/0	1	NA	1
HBA2	ENSG00000188536	Hemoglobin, alpha 2	0	1	0	2	2	11	1	1	1	NA	NA	NA	NA	1	1	0 (0<96>156)	0 (0<96>9.71)	0.73 (0.0786<96>3.34)	3	14	1	1	0/0	0/1	2/4	1	1	1
HBB	ENSG00000244734	Hemoglobin, beta	4	14	0	0	0	0	0.791	NA	0.791	NA	NA	NA	NA	0.791	1	1.15 (0.275<96>3.65)	1.15 (0.275<96>3.65)		13	45	0.616	0.609	4/5	0/0	0/0	0.609	NA	0.609
HBD	ENSG00000223609	Hemoglobin, delta	5	14	0	0	0	0	0.583	NA	0.583	NA	NA	NA	NA	0.583	1	1.43 (0.404<96>4.21)	1.43 (0.404<96>4.21)		6	29	0.83	0.546	5/7	0/0	0/0	0.546	NA	0.546
HBE1	ENSG00000213931	Hemoglobin, epsilon 1	1	5	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.803 (0.017<96>7.17)	0.803 (0.017<96>7.17)		4	24	0.652	1	1/2	0/0	0/0	1	NA	1
HBEGF	ENSG00000113070	Heparin-binding EGF-like growth factor	1	1	0	0	9	18	0.239	0.0786	0.116	NA	NA	NA	NA	0.116	1	4.01 (0.0511<96>314)	4.01 (0.0511<96>314)	2.01 (0.794<96>4.71)	19	41	0.0357	0.265	1/1	0/0	9/10	0.393	0.238	0.265
HBG1	ENSG00000213934	Hemoglobin, gamma A	2	8	0	4	0	2	1	1	1	NA	NA	NA	NA	1	1	1 (0.104<96>5.03)	0.669 (0.0727<96>3)	0 (0<96>21.4)	0	6	0.595	0.945	2/3	0/2	0/1	0.945	1	0.945
HBG2	ENSG00000196565	Hemoglobin, gamma G	2	2	1	3	1	7	0.116	1	0.116	NA	NA	NA	NA	0.116	1	4.01 (0.291<96>55.3)	2.41 (0.374<96>12.4)	0.573 (0.0127<96>4.46)	5	18	0.787	0.297	2/1	1/1	1/2	0.297	1	0.297
HBM	ENSG00000206177	Hemoglobin, mu	3	3	0	0	0	0	0.291	NA	0.291	NA	NA	NA	NA	0.291	1	4.01 (0.538<96>30)	4.01 (0.538<96>30)		3	13	1	0.466	3/2	0/0	0/0	0.466	NA	0.466
HBP1	ENSG00000105856	HMG-box transcription factor 1	2	9	0	0	1	6	1	1	1	NA	NA	NA	NA	1	1	0.892 (0.0938<96>4.31)	0.892 (0.0938<96>4.31)	0.669 (0.0145<96>5.51)	33	85	0.0302	1	2/6	0/0	1/4	1	1	1
HBQ1	ENSG00000086506	Hemoglobin, theta 1	1	5	0	0	0	4	0.469	1	0.469	NA	NA	NA	NA	0.469	1	0.803 (0.017<96>7.17)	0.803 (0.017<96>7.17)	0 (0<96>6.08)	5	9	0.244	0.811	1/4	0/0	0/4	1	0.326	0.811
HBS1L	ENSG00000112339	HBS1-like (S. cerevisiae)	10	34	0	0	0	0	0.793	NA	0.793	NA	NA	NA	NA	0.793	1	1.18 (0.52<96>2.44)	1.18 (0.52<96>2.44)		20	95	0.555	0.44	10/14	0/0	0/0	0.44	NA	0.44
HBZ	ENSG00000130656	Hemoglobin, zeta	3	1	0	0	0	0	0.264	NA	0.264	NA	NA	NA	NA	0.264	1	12 (0.967<96>630)	12 (0.967<96>630)		3	14	1	0.424	3/1	0/0	0/0	0.424	NA	0.424
HCAR1	ENSG00000196917	Hydroxycarboxylic acid receptor 1	8	15	0	0	0	0	0.0765	NA	0.0765	NA	NA	NA	NA	0.0765	1	2.14 (0.786<96>5.38)	2.14 (0.786<96>5.38)		15	61	1	0.0501	8/7	0/0	0/0	0.0501	NA	0.0501
HCAR2	ENSG00000182782	Hydroxycarboxylic acid receptor 2	0	10	0	0	2	11	0.189	1	0.189	NA	NA	NA	NA	0.189	1	0 (0<96>1.79)	0 (0<96>1.79)	0.73 (0.0786<96>3.34)	18	69	0.889	0.271	0/4	0/0	2/7	0.298	0.711	0.271
HCAR3	ENSG00000255398	Hydroxycarboxylic acid receptor 3	3	12	0	0	2	11	1	1	1	NA	NA	NA	NA	1	1	1 (0.182<96>3.72)	1 (0.182<96>3.72)	0.73 (0.0786<96>3.34)	19	66	0.67	0.333	3/2	0/0	2/4	0.333	1	0.333
HCFC1	ENSG00000172534	Host cell factor C1 (VP16-accessory protein)	2	4	6	20	35	61	0.724	0.00276	0.283	NA	NA	NA	NA	0.283	1	2.01 (0.182<96>14)	1.34 (0.52<96>3.08)	2.3 (1.48<96>3.55)	84	340	1	0.233	2/1	6/11	35/32	0.599	0.00514	0.233
HCFC1R1	ENSG00000103145	Host cell factor C1 regulator 1 (XPO1 dependent)	1	3	0	0	0	0	0.483	NA	0.483	NA	NA	NA	NA	0.483	1	1.34 (0.0255<96>16.7)	1.34 (0.0255<96>16.7)		1	13	0.278	0.309	1/0	0/0	0/0	0.309	NA	0.309
HCFC2	ENSG00000111727	Host cell factor C2	2	8	0	0	5	20	1	1	1	NA	NA	NA	NA	1	1	1 (0.104<96>5.03)	1 (0.104<96>5.03)	1 (0.294<96>2.76)	23	84	0.702	0.708	2/3	0/0	5/7	0.797	0.608	0.708
HCG27	ENSG00000206344	HLA complex group 27 (non-protein coding)	0	4	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>6.08)	0 (0<96>6.08)		4	7	0.779	1	0/2	0/0	0/0	1	NA	1
HCK	ENSG00000101336	Hemopoietic cell kinase	1	18	0	0	0	0	0.209	NA	0.209	NA	NA	NA	NA	0.209	1	0.223 (0.00535<96>1.41)	0.223 (0.00535<96>1.41)		13	82	0.146	0.468	1/7	0/0	0/0	0.468	NA	0.468
HCLS1	ENSG00000180353	Hematopoietic cell-specific Lyn substrate 1	3	21	0	0	0	0	0.561	NA	0.561	NA	NA	NA	NA	0.561	1	0.573 (0.109<96>1.92)	0.573 (0.109<96>1.92)		23	67	0.332	0.759	3/9	0/0	0/0	0.759	NA	0.759
HCN1	ENSG00000164588	Hyperpolarization activated cyclic nucleotide-gated potassium channel 1	3	5	3	11	14	51	0.394	0.79	0.372	NA	NA	NA	NA	0.372	1	2.41 (0.374<96>12.4)	1.51 (0.482<96>4.05)	1.1 (0.563<96>2.02)	40	175	0.683	0.518	3/3	3/6	14/34	0.518	0.777	0.518
HCN2	ENSG00000099822	Hyperpolarization activated cyclic nucleotide-gated potassium channel 2	2	3	1	4	26	55	0.375	0.00737	0.13	NA	NA	NA	NA	0.13	1	2.68 (0.223<96>23.4)	1.72 (0.287<96>7.54)	1.9 (1.14<96>3.08)	54	191	0.406	0.105	2/1	1/3	26/28	0.29	0.0146	0.105
HCN3	ENSG00000143630	Hyperpolarization activated cyclic nucleotide-gated potassium channel 3	7	23	0	0	0	0	0.452	NA	0.452	NA	NA	NA	NA	0.452	1	1.22 (0.443<96>2.94)	1.22 (0.443<96>2.94)		31	167	0.185	0.472	7/12	0/0	0/0	0.472	NA	0.472
HCN4	ENSG00000138622	Hyperpolarization activated cyclic nucleotide-gated potassium channel 4	8	0	0	0	0	0	2.54e-6	NA	2.54e-6	NA	NA	NA	NA	2.54e-6	0.00419	Inf (6.85<96>Inf)	Inf (6.85<96>Inf)		43	189	0.788	5.8e-5	8/0	0/0	0/0	5.8e-5	NA	5.8e-5
HCRT	ENSG00000161610	Hypocretin (orexin) neuropeptide precursor	NA	NA	NA	NA	0	1	NA	1	NA	NA	NA	NA	NA	NA	NA	0 (0<96>Inf)		0 (0<96>156)	1	1	0.65	NA	0/0	0/0	0/1	NA	1	NA
HCRTR1	ENSG00000121764	Hypocretin (orexin) receptor 1	6	26	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0.926 (0.312<96>2.3)	0.926 (0.312<96>2.3)		31	100	0.35	0.402	6/8	0/0	0/0	0.402	NA	0.402
HCRTR2	ENSG00000137252	Hypocretin (orexin) receptor 2	4	14	0	0	0	0	0.875	NA	0.875	NA	NA	NA	NA	0.875	1	1.15 (0.275<96>3.65)	1.15 (0.275<96>3.65)		17	94	0.254	0.823	4/6	0/0	0/0	0.823	NA	0.823
HCST	ENSG00000126264	Hematopoietic cell signal transducer	0	1	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>156)	0 (0<96>156)		4	17	1	NA				NA	NA	NA
HDAC1	ENSG00000116478	Histone deacetylase 1	3	10	0	0	9	29	0.728	0.518	0.621	NA	NA	NA	NA	0.621	1	1.2 (0.213<96>4.68)	1.2 (0.213<96>4.68)	1.25 (0.519<96>2.7)	15	62	1	0.351	3/3	0/0	9/13	0.432	0.484	0.351
HDAC10	ENSG00000100429	Histone deacetylase 10	7	58	0	0	0	0	0.0578	NA	0.0578	NA	NA	NA	NA	0.0578	1	0.484 (0.186<96>1.06)	0.484 (0.186<96>1.06)		32	152	0.452	0.528	7/19	0/0	0/0	0.528	NA	0.528
HDAC11	ENSG00000163517	Histone deacetylase 11	2	13	0	0	0	0	0.772	NA	0.772	NA	NA	NA	NA	0.772	1	0.617 (0.0676<96>2.73)	0.617 (0.0676<96>2.73)		24	75	0.284	1	2/4	0/0	0/0	1	NA	1
HDAC2	ENSG00000196591	Histone deacetylase 2	0	1	2	5	5	10	0.676	0.158	0.453	NA	NA	NA	NA	0.453	1	0 (0<96>156)	1.34 (0.132<96>7.48)	2.01 (0.538<96>6.45)	17	49	0.265	0.484	0/0	2/3	5/5	0.646	0.297	0.484
HDAC3	ENSG00000171720	Histone deacetylase 3	4	3	0	1	7	31	0.0658	1	0.0658	NA	NA	NA	NA	0.0658	1	5.35 (0.905<96>36.5)	4.01 (0.748<96>21.6)	0.906 (0.337<96>2.1)	29	84	0.146	0.103	4/1	0/1	7/18	0.103	0.839	0.103
HDAC4	ENSG00000068024	Histone deacetylase 4	3	6	0	0	11	31	0.535	0.316	0.397	NA	NA	NA	NA	0.397	1	2.01 (0.325<96>9.4)	2.01 (0.325<96>9.4)	1.42 (0.646<96>2.91)	80	279	0.251	0.518	3/4	0/0	11/12	0.694	0.276	0.518
HDAC5	ENSG00000108840	Histone deacetylase 5	4	4	0	0	4	11	0.078	0.568	0.0646	NA	NA	NA	NA	0.0646	1	4.01 (0.748<96>21.6)	4.01 (0.748<96>21.6)	1.82 (0.497<96>5.7)	56	192	0.346	0.179	4/2	0/0	4/6	0.191	0.759	0.179
HDAC6	ENSG00000094631	Histone deacetylase 6	2	6	0	0	11	26	0.637	0.275	0.469	NA	NA	NA	NA	0.469	1	1.34 (0.132<96>7.48)	1.34 (0.132<96>7.48)	1.7 (0.757<96>3.56)	46	116	0.0702	0.56	2/3	0/0	11/14	0.71	0.361	0.56
HDAC7	ENSG00000061273	Histone deacetylase 7	3	8	0	0	2	6	0.666	0.643	0.595	NA	NA	NA	NA	0.595	1	1.51 (0.257<96>6.27)	1.51 (0.257<96>6.27)	1.34 (0.132<96>7.48)	40	140	0.558	0.694	3/4	0/0	2/4	0.694	1	0.694
HDAC8	ENSG00000147099	Histone deacetylase 8	NA	NA	NA	NA	2	3	NA	0.351	NA	NA	NA	NA	NA	NA	NA	0 (0<96>Inf)		2.68 (0.223<96>23.4)	6	42	0.253	NA	0/0	0/0	2/0	NA	0.151	NA
HDAC9	ENSG00000048052	Histone deacetylase 9	4	13	0	0	0	0	0.572	NA	0.572	NA	NA	NA	NA	0.572	1	1.23 (0.293<96>4)	1.23 (0.293<96>4)		35	138	0.921	0.739	4/7	0/0	0/0	0.739	NA	0.739
HDC	ENSG00000140287	Histidine decarboxylase	0	21	0	0	0	0	0.0267	NA	0.0267	NA	NA	NA	NA	0.0267	0.871	0 (0<96>0.771)	0 (0<96>0.771)		30	112	0.769	0.0688	0/8	0/0	0/0	0.0688	NA	0.0688
HDDC2	ENSG00000111906	HD domain containing 2	2	13	0	0	0	0	0.92	NA	0.92	NA	NA	NA	NA	0.92	1	0.617 (0.0676<96>2.73)	0.617 (0.0676<96>2.73)		7	31	1	0.686	2/3	0/0	0/0	0.686	NA	0.686
HDDC3	ENSG00000184508	HD domain containing 3	0	8	0	0	0	0	0.37	NA	0.37	NA	NA	NA	NA	0.37	1	0 (0<96>2.35)	0 (0<96>2.35)		7	8	0.095	0.564	0/3	0/0	0/0	0.564	NA	0.564
HDGF	ENSG00000143321	Hepatoma-derived growth factor	1	1	0	0	0	0	0.355	NA	0.355	NA	NA	NA	NA	0.355	1	4.01 (0.0511<96>314)	4.01 (0.0511<96>314)		12	51	1	0.263	1/0	0/0	0/0	0.263	NA	0.263
HDHD1	ENSG00000130021	Haloacid dehalogenase-like hydrolase domain containing 1	0	1	0	0	0	0	1	NA	1	NA	NA	NA	NA	1	1	0 (0<96>156)	0 (0<96>156)		12	35	0.423	NA				NA	NA	NA
HDHD2	ENSG00000167220	Haloacid dehalogenase-like hydrolase domain containing 2	5	17	0	0	0	0	0.594	NA	0.594	NA	NA	NA	NA	0.594	1	1.18 (0.34<96>3.33)	1.18 (0.34<96>3.33)		9	48	0.525	0.515	5/8	0/0	0/0	0.515	NA	0.515
HDHD3	ENSG00000119431	Haloacid dehalogenase-like hydrolase domain containing 3	6	16	0	0	0	0	0.555	NA	0.555	NA	NA	NA	NA	0.555	1	1.51 (0.482<96>4.05)	1.51 (0.482<96>4.05)		16	51	0.44	0.297	6/5	0/0	0/0	0.297	NA	0.297
HDLBP	ENSG00000115677	High density lipoprotein binding protein	5	6	0	0	6	14	0.0622	0.259	0.0372	NA	NA	NA	NA	0.0372	0.938	3.35 (0.808<96>13.2)	3.35 (0.808<96>13.2)	1.72 (0.542<96>4.77)	54	258	0.236	0.0241	5/2	0/0	6/7	0.0363	0.356	0.0241
HDX	ENSG00000165259	Highly divergent homeobox	0	10	0	0	0	0	0.279	NA	0.279	NA	NA	NA	NA	0.279	1	0 (0<96>1.79)	0 (0<96>1.79)		13	70	0.429	0.206	0/6	0/0	0/0	0.206	NA	0.206
HEATR1	ENSG00000119285	HEAT repeat containing 1	6	15	0	0	0	0	0.451	NA	0.451	NA	NA	NA	NA	0.451	1	1.61 (0.51<96>4.38)	1.61 (0.51<96>4.38)		92	327	0.362	0.573	6/11	0/0	0/0	0.573	NA	0.573
HEATR2	ENSG00000164818	HEAT repeat containing 2	9	25	0	0	0	0	0.404	NA	0.404	NA	NA	NA	NA	0.404	1	1.45 (0.593<96>3.2)	1.45 (0.593<96>3.2)		44	162	0.681	0.221	9/10	0/0	0/0	0.221	NA	0.221
HEATR3	ENSG00000155393	HEAT repeat containing 3	5	26	0	0	0	0	0.917	NA	0.917	NA	NA	NA	NA	0.917	1	0.772 (0.231<96>2.04)	0.772 (0.231<96>2.04)		12	91	0.0619	0.305	5/19	0/0	0/0	0.305	NA	0.305
HEATR4	ENSG00000187105	HEAT repeat containing 4	18	79	0	0	0	0	0.875	NA	0.875	NA	NA	NA	NA	0.875	1	0.914 (0.516<96>1.54)	0.914 (0.516<96>1.54)		42	160	0.819	0.521	18/31	0/0	0/0	0.521	NA	0.521
HEATR5B	ENSG00000008869	HEAT repeat containing 5B	17	84	0	0	0	0	0.561	NA	0.561	NA	NA	NA	NA	0.561	1	0.812 (0.452<96>1.38)	0.812 (0.452<96>1.38)		95	355	0.5	0.538	17/45	0/0	0/0	0.538	NA	0.538
HEATR6	ENSG00000068097	HEAT repeat containing 6	10	82	0	0	0	0	0.0626	NA	0.0626	NA	NA	NA	NA	0.0626	1	0.489 (0.226<96>0.946)	0.489 (0.226<96>0.946)		44	159	0.539	0.373	10/29	0/0	0/0	0.373	NA	0.373
HEBP1	ENSG00000013583	Heme binding protein 1	0	7	0	0	0	0	0.533	NA	0.533	NA	NA	NA	NA	0.533	1	0 (0<96>2.78)	0 (0<96>2.78)		9	40	1	0.31	0/4	0/0	0/0	0.31	NA	0.31
HEBP2	ENSG00000051620	Heme binding protein 2	8	18	0	0	0	0	0.191	NA	0.191	NA	NA	NA	NA	0.191	1	1.78 (0.671<96>4.31)	1.78 (0.671<96>4.31)		8	19	0.219	0.0217	8/3	0/0	0/0	0.0217	NA	0.0217
HECA	ENSG00000112406	Headcase homolog (Drosophila)	3	9	0	0	2	26	0.414	0.0964	0.414	NA	NA	NA	NA	0.414	1	1.34 (0.233<96>5.36)	1.34 (0.233<96>5.36)	0.309 (0.0355<96>1.23)	23	100	0.812	0.688	3/6	0/0	2/11	0.688	0.239	0.688
HECTD1	ENSG00000092148	HECT domain containing E3 ubiquitin protein ligase 1	8	24	0	0	2	5	0.47	0.619	0.411	NA	NA	NA	NA	0.411	1	1.34 (0.52<96>3.08)	1.34 (0.52<96>3.08)	1.61 (0.153<96>9.81)	107	395	0.41	0.631	8/15	0/0	2/3	0.697	0.67	0.631
HECTD2	ENSG00000165338	HECT domain containing E3 ubiquitin protein ligase 2	2	5	0	0	2	9	0.229	1	0.229	NA	NA	NA	NA	0.229	1	1.61 (0.153<96>9.81)	1.61 (0.153<96>9.81)	1.34 (0.233<96>5.36)	27	81	0.174	0.567	2/3	0/0	2/3	0.634	0.651	0.567
HECTD3	ENSG00000126107	HECT domain containing E3 ubiquitin protein ligase 3	5	23	0	0	0	0	0.832	NA	0.832	NA	NA	NA	NA	0.832	1	0.872 (0.259<96>2.35)	0.872 (0.259<96>2.35)		51	156	0.101	0.858	5/9	0/0	0/0	0.858	NA	0.858
HECTD4	ENSG00000173064	HECT domain containing E3 ubiquitin protein ligase 4	2	17	0	5	7	29	0.267	1	0.267	NA	NA	NA	NA	0.267	1	0.472 (0.0529<96>1.99)	0.365 (0.0416<96>1.48)	0.969 (0.358<96>2.26)	189	647	0.0629	0.0962	2/12	0/3	7/14	0.0962	1	0.0962
HECW1	ENSG00000002746	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1	8	18	0	0	0	0	0.113	NA	0.113	NA	NA	NA	NA	0.113	1	1.78 (0.671<96>4.31)	1.78 (0.671<96>4.31)		73	303	0.899	0.517	8/12	0/0	0/0	0.517	NA	0.517
HECW2	ENSG00000138411	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2	4	15	0	0	11	38	0.771	0.687	0.703	NA	NA	NA	NA	0.703	1	1.07 (0.259<96>3.36)	1.07 (0.259<96>3.36)	1.16 (0.536<96>2.32)	66	256	0.794	0.785	4/11	0/0	11/19	0.785	0.807	0.785
HEG1	ENSG00000173706	Heart development protein with EGF-like domains 1	3	22	0	0	0	0	0.55	NA	0.55	NA	NA	NA	NA	0.55	1	0.547 (0.105<96>1.82)	0.547 (0.105<96>1.82)		58	178	0.14	0.778	3/6	0/0	0/0	0.778	NA	0.778
HELB	ENSG00000127311	Helicase (DNA) B	19	68	0	0	0	0	0.722	NA	0.722	NA	NA	NA	NA	0.722	1	1.12 (0.637<96>1.89)	1.12 (0.637<96>1.89)		43	173	1	0.634	19/33	0/0	0/0	0.634	NA	0.634
HELLS	ENSG00000119969	Helicase, lymphoid-specific	2	1	0	0	3	1	0.0614	0.0641	0.0235	NA	NA	NA	NA	0.0235	0.849	8.03 (0.418<96>472)	8.03 (0.418<96>472)	12 (0.967<96>630)	24	109	0.647	0.0581	2/1	0/0	3/0	0.129	0.0827	0.0581
HELQ	ENSG00000163312	Helicase, POLQ-like	9	53	0	0	0	0	0.0649	NA	0.0649	NA	NA	NA	NA	0.0649	1	0.681 (0.295<96>1.39)	0.681 (0.295<96>1.39)		40	144	0.516	0.624	9/18	0/0	0/0	0.624	NA	0.624
HELT	ENSG00000187821	Helt bHLH transcription factor	5	14	0	0	0	0	0.658	NA	0.658	NA	NA	NA	NA	0.658	1	1.43 (0.404<96>4.21)	1.43 (0.404<96>4.21)		22	95	0.815	0.484	5/6	0/0	0/0	0.484	NA	0.484
HELZ	ENSG00000198265	Helicase with zinc finger	2	5	0	0	0	9	0.588	0.194	0.588	NA	NA	NA	NA	0.588	1	1.61 (0.153<96>9.81)	1.61 (0.153<96>9.81)	0.446 (0.0102<96>3.22)	66	322	0.146	0.614	2/3	0/0	0/4	0.614	0.3	0.614
HELZ2	ENSG00000130589	Helicase with zinc finger 2, transcriptional coactivator	9	34	0	0	0	0	0.837	NA	0.837	NA	NA	NA	NA	0.837	1	1.06 (0.448<96>2.26)	1.06 (0.448<96>2.26)		78	242	0.361	0.844	9/17	0/0	0/0	0.844	NA	0.844
HEMGN	ENSG00000136929	Hemogen	8	25	0	0	0	0	0.681	NA	0.681	NA	NA	NA	NA	0.681	1	1.28 (0.501<96>2.94)	1.28 (0.501<96>2.94)		18	79	0.789	0.572	8/12	0/0	0/0	0.572	NA	0.572
HEMK1	ENSG00000114735	HemK methyltransferase family member 1	6	16	0	0	0	0	0.484	NA	0.484	NA	NA	NA	NA	0.484	1	1.51 (0.482<96>4.05)	1.51 (0.482<96>4.05)		20	51	0.136	0.238	6/6	0/0	0/0	0.238	NA	0.238
HENMT1	ENSG00000162639	HEN1 methyltransferase homolog 1 (Arabidopsis)	2	28	0	0	0	0	0.112	NA	0.112	NA	NA	NA	NA	0.112	1	0.43 (0.0836<96>1.39)	0.43 (0.0836<96>1.39)		10	77	0.0919	0.519	2/9	0/0	0/0	0.519	NA	0.519
HEPACAM	ENSG00000165478	Hepatic and glial cell adhesion molecule	2	0	1	1	0	0	0.121	NA	0.121	NA	NA	NA	NA	0.121	1	Inf (0.754<96>Inf)	12 (0.967<96>630)		21	66	0.34	0.269	2/0	1/1	0/0	0.269	NA	0.269
HEPACAM2	ENSG00000188175	HEPACAM family member 2	5	27	0	0	0	0	0.813	NA	0.813	NA	NA	NA	NA	0.813	1	0.743 (0.223<96>1.96)	0.743 (0.223<96>1.96)		23	58	0.0965	0.835	5/9	0/0	0/0	0.835	NA	0.835
HEPH	ENSG00000089472	Hephaestin	6	18	0	0	0	0	0.426	NA	0.426	NA	NA	NA	NA	0.426	1	1.34 (0.435<96>3.52)	1.34 (0.435<96>3.52)		21	131	0.0507	0.563	6/9	0/0	0/0	0.563	NA	0.563
HEPHL1	ENSG00000181333	Hephaestin-like 1	15	85	0	0	0	0	0.273	NA	0.273	NA	NA	NA	NA	0.273	1	0.708 (0.38<96>1.24)	0.708 (0.38<96>1.24)		49	192	0.868	0.877	15/35	0/0	0/0	0.877	NA	0.877
HEPN1	ENSG00000221932	Hepatocellular carcinoma, down-regulated 1	2	4	0	0	0	0	0.252	NA	0.252	NA	NA	NA	NA	0.252	1	2.01 (0.182<96>14)	2.01 (0.182<96>14)		2	19	0.448	0.269	2/1	0/0	0/0	0.269	NA	0.269
